query,plan_id,plan_content
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM random_cast_info_4 AS ci,
   random_company_name_4 AS cn,
   random_keyword_4 AS k,
   random_movie_companies_4 AS mc,
   random_movie_keyword_4 AS mk,
   random_name_4 AS n,
   random_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[us]'
AND k.keyword = 'sex'
AND n.name LIKE '%Morgan%';",110,/*+  SeqScan(n) IndexScan(ci person_id_cast_info_random_4) IndexScan(mk movie_id_movie_keyword_random_4) SeqScan(k) IndexOnlyScan(t random_title_4_pkey) IndexScan(mc movie_id_movie_companies_random_4) IndexScan(cn random_company_name_4_pkey) NestLoop(n ci) NestLoop(n ci mk) HashJoin(n ci mk k) NestLoop(n ci mk k t) NestLoop(n ci mk k t mc) NestLoop(n ci mk k t mc cn) Leading(((((((n ci) mk) k) t) mc) cn)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM random_cast_info_4 AS ci,
   random_company_name_4 AS cn,
   random_keyword_4 AS k,
   random_movie_companies_4 AS mc,
   random_movie_keyword_4 AS mk,
   random_name_4 AS n,
   random_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[us]'
AND k.keyword = 'hardcore'
AND n.name LIKE '%Dan%';",114,/*+  SeqScan(n) IndexScan(ci person_id_cast_info_random_4) SeqScan(k) IndexScan(mk keyword_id_movie_keyword_random_4) IndexScan(mc movie_id_movie_companies_random_4) IndexOnlyScan(t random_title_4_pkey) IndexScan(cn random_company_name_4_pkey) NestLoop(n ci) NestLoop(k mk) HashJoin(n ci k mk) NestLoop(n ci k mk mc) NestLoop(n ci k mk mc t) NestLoop(n ci k mk mc t cn) Leading((((((n ci) (k mk)) mc) t) cn)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM random_cast_info_4 AS ci,
   random_company_name_4 AS cn,
   random_keyword_4 AS k,
   random_movie_companies_4 AS mc,
   random_movie_keyword_4 AS mk,
   random_name_4 AS n,
   random_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[us]'
AND k.keyword = 'character-name-in-title'
AND n.name LIKE '%Bob%';",110,/*+  SeqScan(n) IndexScan(ci person_id_cast_info_random_4) IndexScan(mk movie_id_movie_keyword_random_4) SeqScan(k) IndexOnlyScan(t random_title_4_pkey) IndexScan(mc movie_id_movie_companies_random_4) IndexScan(cn random_company_name_4_pkey) NestLoop(n ci) NestLoop(n ci mk) HashJoin(n ci mk k) NestLoop(n ci mk k t) NestLoop(n ci mk k t mc) NestLoop(n ci mk k t mc cn) Leading(((((((n ci) mk) k) t) mc) cn)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM random_cast_info_4 AS ci,
   random_company_name_4 AS cn,
   random_keyword_4 AS k,
   random_movie_companies_4 AS mc,
   random_movie_keyword_4 AS mk,
   random_name_4 AS n,
   random_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[us]'
AND k.keyword = 'female-nudity'
AND n.name LIKE '%Arend%';",110,/*+  SeqScan(n) IndexScan(ci person_id_cast_info_random_4) IndexScan(mk movie_id_movie_keyword_random_4) SeqScan(k) IndexOnlyScan(t random_title_4_pkey) IndexScan(mc movie_id_movie_companies_random_4) IndexScan(cn random_company_name_4_pkey) NestLoop(n ci) NestLoop(n ci mk) HashJoin(n ci mk k) NestLoop(n ci mk k t) NestLoop(n ci mk k t mc) NestLoop(n ci mk k t mc cn) Leading(((((((n ci) mk) k) t) mc) cn)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM random_cast_info_4 AS ci,
   random_company_name_4 AS cn,
   random_keyword_4 AS k,
   random_movie_companies_4 AS mc,
   random_movie_keyword_4 AS mk,
   random_name_4 AS n,
   random_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[us]'
AND k.keyword = 'police'
AND n.name LIKE '%Dan%';",110,/*+  SeqScan(n) IndexScan(ci person_id_cast_info_random_4) IndexScan(mk movie_id_movie_keyword_random_4) SeqScan(k) IndexOnlyScan(t random_title_4_pkey) IndexScan(mc movie_id_movie_companies_random_4) IndexScan(cn random_company_name_4_pkey) NestLoop(n ci) NestLoop(n ci mk) HashJoin(n ci mk k) NestLoop(n ci mk k t) NestLoop(n ci mk k t mc) NestLoop(n ci mk k t mc cn) Leading(((((((n ci) mk) k) t) mc) cn)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM random_cast_info_4 AS ci,
   random_company_name_4 AS cn,
   random_keyword_4 AS k,
   random_movie_companies_4 AS mc,
   random_movie_keyword_4 AS mk,
   random_name_4 AS n,
   random_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[us]'
AND k.keyword = 'sex'
AND n.name LIKE '%Letterman%';",110,/*+  SeqScan(n) IndexScan(ci person_id_cast_info_random_4) IndexScan(mk movie_id_movie_keyword_random_4) SeqScan(k) IndexOnlyScan(t random_title_4_pkey) IndexScan(mc movie_id_movie_companies_random_4) IndexScan(cn random_company_name_4_pkey) NestLoop(n ci) NestLoop(n ci mk) HashJoin(n ci mk k) NestLoop(n ci mk k t) NestLoop(n ci mk k t mc) NestLoop(n ci mk k t mc cn) Leading(((((((n ci) mk) k) t) mc) cn)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM random_cast_info_4 AS ci,
   random_company_name_4 AS cn,
   random_keyword_4 AS k,
   random_movie_companies_4 AS mc,
   random_movie_keyword_4 AS mk,
   random_name_4 AS n,
   random_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[us]'
AND k.keyword = 'surrealism'
AND n.name LIKE '%Roger%';",110,/*+  SeqScan(n) IndexScan(ci person_id_cast_info_random_4) IndexScan(mk movie_id_movie_keyword_random_4) SeqScan(k) IndexOnlyScan(t random_title_4_pkey) IndexScan(mc movie_id_movie_companies_random_4) IndexScan(cn random_company_name_4_pkey) NestLoop(n ci) NestLoop(n ci mk) HashJoin(n ci mk k) NestLoop(n ci mk k t) NestLoop(n ci mk k t mc) NestLoop(n ci mk k t mc cn) Leading(((((((n ci) mk) k) t) mc) cn)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM random_cast_info_4 AS ci,
   random_company_name_4 AS cn,
   random_keyword_4 AS k,
   random_movie_companies_4 AS mc,
   random_movie_keyword_4 AS mk,
   random_name_4 AS n,
   random_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[us]'
AND k.keyword = 'character-name-in-title'
AND n.name LIKE '%Freeman%';",110,/*+  SeqScan(n) IndexScan(ci person_id_cast_info_random_4) IndexScan(mk movie_id_movie_keyword_random_4) SeqScan(k) IndexOnlyScan(t random_title_4_pkey) IndexScan(mc movie_id_movie_companies_random_4) IndexScan(cn random_company_name_4_pkey) NestLoop(n ci) NestLoop(n ci mk) HashJoin(n ci mk k) NestLoop(n ci mk k t) NestLoop(n ci mk k t mc) NestLoop(n ci mk k t mc cn) Leading(((((((n ci) mk) k) t) mc) cn)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM random_cast_info_4 AS ci,
   random_company_name_4 AS cn,
   random_keyword_4 AS k,
   random_movie_companies_4 AS mc,
   random_movie_keyword_4 AS mk,
   random_name_4 AS n,
   random_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[us]'
AND k.keyword = 'oral-sex'
AND n.name LIKE '%Bob%';",110,/*+  SeqScan(n) IndexScan(ci person_id_cast_info_random_4) IndexScan(mk movie_id_movie_keyword_random_4) SeqScan(k) IndexOnlyScan(t random_title_4_pkey) IndexScan(mc movie_id_movie_companies_random_4) IndexScan(cn random_company_name_4_pkey) NestLoop(n ci) NestLoop(n ci mk) HashJoin(n ci mk k) NestLoop(n ci mk k t) NestLoop(n ci mk k t mc) NestLoop(n ci mk k t mc cn) Leading(((((((n ci) mk) k) t) mc) cn)) */
"SELECT MIN(n.name) AS member_in_charnamed_american_movie, MIN(n.name) AS a1
FROM random_cast_info_4 AS ci,
   random_company_name_4 AS cn,
   random_keyword_4 AS k,
   random_movie_companies_4 AS mc,
   random_movie_keyword_4 AS mk,
   random_name_4 AS n,
   random_title_4 AS t
WHERE n.id = ci.person_id
AND ci.movie_id = t.id
AND t.id = mk.movie_id
AND mk.keyword_id = k.id
AND t.id = mc.movie_id
AND mc.company_id = cn.id
AND ci.movie_id = mc.movie_id
AND ci.movie_id = mk.movie_id
AND mc.movie_id = mk.movie_id
AND cn.country_code = '[us]'
AND k.keyword = 'family-relationships'
AND n.name LIKE '%Cummings%';",110,/*+  SeqScan(n) IndexScan(ci person_id_cast_info_random_4) IndexScan(mk movie_id_movie_keyword_random_4) SeqScan(k) IndexOnlyScan(t random_title_4_pkey) IndexScan(mc movie_id_movie_companies_random_4) IndexScan(cn random_company_name_4_pkey) NestLoop(n ci) NestLoop(n ci mk) HashJoin(n ci mk k) NestLoop(n ci mk k t) NestLoop(n ci mk k t mc) NestLoop(n ci mk k t mc cn) Leading(((((((n ci) mk) k) t) mc) cn)) */
