Table,Condition,Frequency
cct1,"cct.kind IN ('cast', 'complete+verified', 'crew', 'complete', 'crew')",1
cct1,"cct.kind IN ('cast', 'complete', 'crew', 'complete', 'complete+verified')",1
cct1,"cct.kind IN ('cast', 'cast', 'cast', 'complete+verified', 'complete+verified')",1
cct1,"cct.kind IN ('crew', 'complete+verified', 'crew', 'complete+verified', 'crew')",1
cct1,"cct.kind IN ('cast', 'cast', 'complete+verified', 'crew', 'complete+verified')",2
cct1,"cct.kind IN ('cast', 'complete+verified', 'cast', 'crew', 'complete+verified')",1
cct1,"cct.kind IN ('cast', 'complete', 'complete+verified', 'complete', 'cast')",1
cct1,"cct.kind IN ('cast', 'complete', 'complete+verified', 'cast', 'complete+verified')",1
cct1,"cct.kind IN ('crew', 'crew', 'complete+verified', 'complete+verified', 'complete')",1
cct1,"cct.kind IN ('cast', 'complete+verified', 'cast', 'complete', 'crew')",1
cct1,"cct.kind IN ('cast', 'complete+verified', 'complete', 'crew', 'complete+verified')",1
cct1,"cct.kind IN ('cast', 'crew', 'cast', 'crew', 'cast')",1
cct1,"cct.kind IN ('cast', 'complete+verified', 'cast', 'cast', 'complete')",1
cct1,"cct.kind IN ('cast', 'complete+verified', 'complete+verified', 'cast', 'complete+verified')",2
cct1,"cct.kind IN ('crew', 'crew', 'complete+verified', 'crew', 'complete')",1
cct1,"cct.kind IN ('cast', 'complete+verified', 'crew', 'complete+verified', 'cast')",1
cct1,"cct.kind IN ('cast', 'complete+verified', 'cast', 'crew', 'complete')",1
cct1,"cct.kind IN ('cast', 'cast', 'cast', 'complete+verified', 'cast')",1
cct1,"cct.kind IN ('cast', 'crew', 'complete+verified', 'cast', 'cast')",1
cct1,"cct.kind IN ('cast', 'crew', 'cast', 'crew', 'complete')",1
cct1,"cct.kind IN ('cast', 'complete', 'complete', 'complete+verified', 'cast')",1
cct1,"cct.kind IN ('cast', 'complete+verified', 'complete', 'cast', 'crew')",1
cct1,"cct.kind IN ('cast', 'crew', 'cast', 'complete+verified', 'complete')",1
cct1,"cct.kind IN ('crew', 'crew', 'cast', 'cast', 'cast')",1
cct1,"cct.kind IN ('cast', 'crew', 'complete', 'complete+verified', 'complete+verified')",1
cct1,"cct.kind IN ('cast', 'cast', 'crew', 'crew', 'complete')",1
cct1,"cct.kind IN ('crew', 'complete+verified', 'complete', 'complete+verified', 'crew')",1
cct1,"cct.kind IN ('cast', 'cast', 'cast', 'cast', 'complete+verified')",1
cct1,"cct.kind IN ('cast', 'complete', 'crew', 'crew', 'cast')",1
cct1,"cct.kind IN ('cast', 'complete+verified', 'complete', 'cast', 'complete+verified')",2
