["d_year > 2001", "item1.i_category IN ('Electronics                                       ', 'Women                                             ', 'Jewelry')", "item2.i_manager_id > 42", "item2.i_manager_id < 52", "cd_marital_status = 'D'", "cd_education_status = 'College'", "s1.ss_list_price > 12", "s1.ss_list_price < 215", "s2.ss_list_price > 11", "s2.ss_list_price < 143"],
["d_year > 1999", "item1.i_category IN ('Shoes                                             ', 'Shoes                                             ', 'Shoes')", "item2.i_manager_id > 22", "item2.i_manager_id < 71", "cd_marital_status = 'U'", "cd_education_status = 'Advanced Degree'", "s1.ss_list_price > 127", "s1.ss_list_price < 168", "s2.ss_list_price > 49", "s2.ss_list_price < 156"],
["d_year > 1999", "item1.i_category IN ('Books                                             ', 'Shoes                                             ', 'Children')", "item2.i_manager_id > 6", "item2.i_manager_id < 46", "cd_marital_status = 'W'", "cd_education_status = 'College'", "s1.ss_list_price > 29", "s1.ss_list_price < 123", "s2.ss_list_price > 82", "s2.ss_list_price < 143"],
["d_year > 1999", "item1.i_category IN ('Sports                                            ', 'Sports                                            ', 'Sports')", "item2.i_manager_id > 10", "item2.i_manager_id < 82", "cd_marital_status = 'U'", "cd_education_status = 'Secondary'", "s1.ss_list_price > 53", "s1.ss_list_price < 100", "s2.ss_list_price > 32", "s2.ss_list_price < 103"],
["d_year > 2000", "item1.i_category IN ('Children                                          ', 'Children                                          ', 'Jewelry')", "item2.i_manager_id > 29", "item2.i_manager_id < 94", "cd_marital_status = 'U'", "cd_education_status = 'Secondary'", "s1.ss_list_price > 55", "s1.ss_list_price < 173", "s2.ss_list_price > 1", "s2.ss_list_price < 206"],
["d_year > 2002", "item1.i_category IN ('Men                                               ', 'Children                                          ', 'Sports')", "item2.i_manager_id > 4", "item2.i_manager_id < 79", "cd_marital_status = 'D'", "cd_education_status = '2 yr Degree'", "s1.ss_list_price > 58", "s1.ss_list_price < 152", "s2.ss_list_price > 53", "s2.ss_list_price < 134"],
["d_year > 2002", "item1.i_category IN ('Children                                          ', 'Books                                             ', 'Books')", "item2.i_manager_id > 8", "item2.i_manager_id < 87", "cd_marital_status = 'D'", "cd_education_status = 'Primary'", "s1.ss_list_price > 8", "s1.ss_list_price < 108", "s2.ss_list_price > 2", "s2.ss_list_price < 100"],
["d_year > 1999", "item1.i_category IN ('Shoes                                             ', 'Shoes                                             ', 'Shoes')", "item2.i_manager_id > 42", "item2.i_manager_id < 76", "cd_marital_status = 'D'", "cd_education_status = 'Unknown'", "s1.ss_list_price > 2", "s1.ss_list_price < 98", "s2.ss_list_price > 12", "s2.ss_list_price < 14"],
["d_year > 2003", "item1.i_category IN ('Books                                             ', 'Jewelry                                           ', 'Books')", "item2.i_manager_id > 27", "item2.i_manager_id < 49", "cd_marital_status = 'M'", "cd_education_status = '4 yr Degree'", "s1.ss_list_price > 1", "s1.ss_list_price < 31", "s2.ss_list_price > 25", "s2.ss_list_price < 44"],
["d_year > 2001", "item1.i_category IN ('Books                                             ', 'Men                                               ', 'Children')", "item2.i_manager_id > 18", "item2.i_manager_id < 65", "cd_marital_status = 'D'", "cd_education_status = '4 yr Degree'", "s1.ss_list_price > 66", "s1.ss_list_price < 131", "s2.ss_list_price > 41", "s2.ss_list_price < 192"],
["d_year > 2002", "item1.i_category IN ('Children                                          ', 'Children                                          ', 'Sports')", "item2.i_manager_id > 7", "item2.i_manager_id < 55", "cd_marital_status = 'U'", "cd_education_status = 'Primary'", "s1.ss_list_price > 37", "s1.ss_list_price < 104", "s2.ss_list_price > 65", "s2.ss_list_price < 112"],
